[2025-08-29T20:07:23.818Z] GET /src/components/CredentialSetupModal.tsx -> 200 (7ms)
[2025-08-29T20:07:23.818Z] GET /src/pages/Flows.ts -> 200 (6ms)
[2025-08-29T20:07:23.818Z] GET /src/pages/Dashboard.tsx -> 200 (6ms)
[2025-08-29T20:07:23.818Z] GET /src/pages/Configuration.tsx -> 200 (6ms)
[2025-08-29T20:07:23.818Z] GET /src/pages/Documentation.tsx -> 200 (5ms)
[2025-08-29T20:07:23.818Z] GET /src/pages/Login.tsx -> 200 (5ms)
[2025-08-29T20:07:23.818Z] GET /src/pages/Callback.tsx -> 200 (5ms)
[2025-08-29T20:07:23.831Z] GET /src/components/Card.tsx -> 200 (10ms)
[2025-08-29T20:07:23.831Z] GET /node_modules/.vite/deps/react-icons_fi.js?v=bcf562e2 -> 200 (11ms)
[2025-08-29T20:07:23.847Z] GET /src/contexts/AuthContext.tsx -> 200 (37ms)
[2025-08-29T20:07:23.851Z] GET /src/utils/storage.ts -> 200 (2ms)
[2025-08-29T20:07:23.851Z] GET /src/utils/oauth.ts -> 200 (2ms)
[2025-08-29T20:07:23.852Z] GET /src/config/pingone.ts -> 200 (3ms)
[2025-08-29T20:07:23.853Z] GET /@id/__vite-browser-external:crypto -> 200 (1ms)
[2025-08-29T20:07:23.894Z] GET /favicon.ico -> 200 (1ms)
[2025-08-29T20:07:26.552Z] GET / -> 200 (23ms)
[2025-08-29T20:07:26.702Z] GET /@react-refresh -> 200 (6ms)
[2025-08-29T20:07:26.711Z] GET /@vite/client -> 200 (15ms)
[2025-08-29T20:07:26.712Z] GET /src/main.tsx -> 200 (16ms)
[2025-08-29T20:07:26.737Z] GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=bcf562e2 -> 200 (6ms)
[2025-08-29T20:07:26.737Z] GET /node_modules/.vite/deps/react.js?v=bcf562e2 -> 200 (6ms)
[2025-08-29T20:07:26.737Z] GET /node_modules/.vite/deps/react-dom_client.js?v=bcf562e2 -> 200 (5ms)
[2025-08-29T20:07:26.737Z] GET /node_modules/.vite/deps/react-router-dom.js?v=bcf562e2 -> 200 (5ms)
[2025-08-29T20:07:26.737Z] GET /node_modules/.vite/deps/styled-components.js?v=bcf562e2 -> 200 (5ms)
[2025-08-29T20:07:26.739Z] GET /src/App.tsx -> 200 (7ms)
[2025-08-29T20:07:26.742Z] GET /src/styles/global.ts -> 200 (9ms)
[2025-08-29T20:07:26.742Z] GET /node_modules/.vite/deps/chunk-AMZ7Q62Q.js?v=bcf562e2 -> 200 (4ms)
[2025-08-29T20:07:26.825Z] GET /node_modules/.vite/deps/chunk-XHCDW3LY.js?v=bcf562e2 -> 200 (86ms)
[2025-08-29T20:07:26.825Z] GET /node_modules/vite/dist/client/env.mjs -> 200 (94ms)
